Country,Code,year,GDPphead,MaternalMortRate,NeonatalDeathRate,stuntPerc5,PrcntBelowPovertyLine,NoPeopleBPovertyLine,unfedprcnt
Botswana,BWA,2000,10629.94727,262,16.6,29.1,41.41439341,389792,21.8
Botswana,BWA,2001,10457.14844,271,17,29,41.41439341,389792,23.7
Botswana,BWA,2002,10896.88281,278,17.8,29,49.56478974,496721,24.1
Botswana,BWA,2003,11205.40039,278,18.7,29,41.41439341,389792,24.5
Botswana,BWA,2004,11305.57324,264,19.6,29,41.41439341,389792,23.7
Botswana,BWA,2005,11600.3291,239,20.4,29,41.41439341,389792,22.6
Botswana,BWA,2006,12318.3623,221,21,29,41.41439341,389792,22.3
Botswana,BWA,2007,13056.67285,209,21.6,28.9,41.41439341,389792,22.2
Botswana,BWA,2008,13581.16895,203,22,29,41.41439341,389792,22
Botswana,BWA,2009,12298.83203,189,22.4,29,36.6742158,345509,21.9
Botswana,BWA,2010,13126.21484,179,22.7,29,41.41439341,389792,21.5
Botswana,BWA,2011,13724.6709,176,22.9,29,41.41439341,389792,21
Botswana,BWA,2012,14166.54395,170,23.1,29,41.41439341,389792,20.3
Botswana,BWA,2013,15597.61719,164,23.2,29,41.41439341,389792,19.7
Botswana,BWA,2014,16042.05273,160,23.3,29,41.41439341,389792,19.3
Botswana,BWA,2015,14895.90527,156,23.3,29,38.0041747,327147,19.6
Botswana,BWA,2016,15654.68164,151,23.2,29,41.41439341,389792,20.1
Botswana,BWA,2017,15948.03223,144,23,29,41.41439341,389792,21.3
Cameroon,CMR,2000,2858.008301,886,35.6,34.375,53.74080356,5266028,11.14
Cameroon,CMR,2001,2903.922119,844,34.8,34.375,55.79322271,4092845,22.9
Cameroon,CMR,2002,2954.419189,803,34.1,34.375,53.74080356,5266028,20.7
Cameroon,CMR,2003,3033.329834,771,33.7,34.375,53.74080356,5266028,19.3
Cameroon,CMR,2004,3160.892578,732,33.5,35.6,53.74080356,5266028,17.6
Cameroon,CMR,2005,3144.939209,692,33.2,34.375,53.74080356,5266028,15.9
Cameroon,CMR,2006,3176.917236,658,33,37.6,53.74080356,5266028,14.1
Cameroon,CMR,2007,3224.755127,635,32.7,34.375,58.45204054,5885641,12.6
Cameroon,CMR,2008,3226.595459,618,32.4,34.375,53.74080356,5266028,11.2
Cameroon,CMR,2009,3219.964111,606,32,34.375,53.74080356,5266028,8.8
Cameroon,CMR,2010,3223.51001,597,31.7,34.375,53.74080356,5266028,7.1
Cameroon,CMR,2011,3242.354492,589,31.3,32.6,53.74080356,5266028,5.6
Cameroon,CMR,2012,3300.945557,580,30.9,34.375,53.74080356,5266028,5.2
Cameroon,CMR,2013,3372.903809,567,30.4,34.375,53.74080356,5266028,5.2
